k,domain,eval_seed,tightening,n_gen1,revoke_rate,regeneration_success_rate,random_redraw_success_rate,SR_discard,GC_discard,SR_regenerate,n_revoked,n_regen_ok,n_redraw_ok,Rel_baseline,Rel_discard,Rel_regenerate
22,Healthcare,22043,0.05,198,0.29292929292929293,0.8448275862068966,0.06896551724137931,0.7070707070707071,0.7070707070707071,0.9545454545454546,58,49,4,0.9058387606675072,0.7616971363372688,0.895364876055006
23,RLV,23042,0.05,196,0.33163265306122447,0.8461538461538461,0.046153846153846156,0.6683673469387755,0.6683673469387755,0.9489795918367347,65,55,3,0.8982086999838063,0.7343191758745401,0.8865259967577319
23,Healthcare,23043,0.05,190,0.33157894736842103,0.9047619047619048,0.047619047619047616,0.6684210526315789,0.668421052631579,0.968421052631579,63,57,3,0.8953594434485977,0.7320192105888665,0.8882055325669583
24,RLV,24042,0.05,196,0.23979591836734693,0.8936170212765957,0.0425531914893617,0.7602040816326531,0.7602040816326531,0.9744897959183674,47,42,2,0.897904762276556,0.7828803155972093,0.8921227181429088
24,Healthcare,24043,0.05,196,0.3163265306122449,0.9193548387096774,0.06451612903225806,0.6836734693877551,0.6836734693877551,0.9744897959183674,62,57,4,0.8965543115128873,0.7413118917547546,0.8907809635865038
25,RLV,25042,0.05,197,0.3299492385786802,0.9076923076923077,0.03076923076923077,0.6700507614213198,0.6700507614213198,0.9695431472081218,65,59,2,0.892608499722455,0.7306592227499166,0.8857329544925356
25,Healthcare,25043,0.05,194,0.30927835051546393,0.8166666666666667,0.03333333333333333,0.6907216494845361,0.6907216494845361,0.9432989690721649,60,49,2,0.8930368740264555,0.7421999585437903,0.8800994133181552
26,RLV,26042,0.05,198,0.3383838383838384,0.8656716417910447,0.029850746268656716,0.6616161616161617,0.6616161616161615,0.9545454545454546,67,58,2,0.9039970894433369,0.735309344101622,0.8935444994063537
26,Healthcare,26043,0.05,196,0.24489795918367346,0.8333333333333334,0.020833333333333332,0.7551020408163265,0.7551020408163265,0.9591836734693877,48,40,1,0.907751006608102,0.7888048299766078,0.8983429908487945
27,RLV,27042,0.05,197,0.27918781725888325,0.9090909090909091,0.03636363636363636,0.7208121827411168,0.7208121827411167,0.9746192893401016,55,50,2,0.8924257930944727,0.7576753756799063,0.8867084854415926
