k,domain,width_x_halfwidth,shapley_local_vs_cf,lime_local_vs_cf,shapley_vs_lime
29,RLV,1.0,0.66,0.8866666666666667,0.6666666666666666
29,RLV,2.0,0.3466666666666667,0.6066666666666667,0.36
29,RLV,4.0,0.34,0.29333333333333333,0.32666666666666666
29,Healthcare,0.25,0.86,0.94,0.8733333333333333
29,Healthcare,0.5,0.86,0.8866666666666667,0.8666666666666667
29,Healthcare,1.0,0.72,0.7866666666666666,0.7
29,Healthcare,2.0,0.34,0.5733333333333334,0.34
29,Healthcare,4.0,0.25333333333333335,0.38,0.25333333333333335
30,RLV,0.25,0.84,0.86,0.88
30,RLV,0.5,0.8,0.88,0.8
30,RLV,1.0,0.7533333333333333,0.7933333333333333,0.7066666666666667
30,RLV,2.0,0.34,0.6466666666666666,0.30666666666666664
30,RLV,4.0,0.24,0.28,0.14666666666666667
30,Healthcare,0.25,0.88,0.8866666666666667,0.86
30,Healthcare,0.5,0.8266666666666667,0.8933333333333333,0.8533333333333334
30,Healthcare,1.0,0.7066666666666667,0.8,0.6933333333333334
30,Healthcare,2.0,0.44666666666666666,0.6733333333333333,0.4266666666666667
30,Healthcare,4.0,0.26666666666666666,0.31333333333333335,0.23333333333333334
31,RLV,0.25,0.8266666666666667,0.8533333333333334,0.8666666666666667
31,RLV,0.5,0.8266666666666667,0.84,0.8466666666666667
31,RLV,1.0,0.6066666666666667,0.8333333333333334,0.6666666666666666
31,RLV,2.0,0.32666666666666666,0.6266666666666667,0.3333333333333333
31,RLV,4.0,0.30666666666666664,0.2733333333333333,0.23333333333333334
31,Healthcare,0.25,0.8733333333333333,0.9333333333333333,0.8733333333333333
31,Healthcare,0.5,0.9133333333333333,0.9533333333333334,0.9066666666666666
31,Healthcare,1.0,0.68,0.8333333333333334,0.6866666666666666
31,Healthcare,2.0,0.3933333333333333,0.6066666666666667,0.37333333333333335
31,Healthcare,4.0,0.32666666666666666,0.30666666666666664,0.22666666666666666
32,RLV,0.25,0.7733333333333333,0.8533333333333334,0.8466666666666667
32,RLV,0.5,0.82,0.8133333333333334,0.8733333333333333
32,RLV,1.0,0.6733333333333333,0.82,0.6666666666666666
32,RLV,2.0,0.41333333333333333,0.6733333333333333,0.36666666666666664
32,RLV,4.0,0.30666666666666664,0.3,0.24
32,Healthcare,0.25,0.8933333333333333,0.9266666666666666,0.9466666666666667
32,Healthcare,0.5,0.9066666666666666,0.9133333333333333,0.88
32,Healthcare,1.0,0.7866666666666666,0.84,0.7333333333333333
32,Healthcare,2.0,0.3466666666666667,0.6466666666666666,0.32
32,Healthcare,4.0,0.22666666666666666,0.36,0.22666666666666666
33,RLV,0.25,0.8533333333333334,0.8733333333333333,0.8666666666666667
33,RLV,0.5,0.84,0.88,0.8733333333333333
33,RLV,1.0,0.6933333333333334,0.7933333333333333,0.6733333333333333
33,RLV,2.0,0.4066666666666667,0.6733333333333333,0.3466666666666667
33,RLV,4.0,0.24666666666666667,0.22,0.23333333333333334
33,Healthcare,0.25,0.8333333333333334,0.8666666666666667,0.86
33,Healthcare,0.5,0.8266666666666667,0.84,0.8266666666666667
33,Healthcare,1.0,0.7866666666666666,0.8066666666666666,0.7533333333333333
33,Healthcare,2.0,0.3933333333333333,0.62,0.3466666666666667
33,Healthcare,4.0,0.26,0.37333333333333335,0.24666666666666667
34,RLV,0.25,0.8733333333333333,0.88,0.8933333333333333
34,RLV,0.5,0.8866666666666667,0.88,0.8733333333333333
34,RLV,1.0,0.6733333333333333,0.88,0.6733333333333333
34,RLV,2.0,0.4533333333333333,0.58,0.35333333333333333
34,RLV,4.0,0.34,0.2866666666666667,0.24666666666666667
