arm,k,domain,A_triad,TS_mean,SR_mean,Rel_mean,genesis_rmsd_vs_ref,Ag_agreement_vs_ref
attn1,23,RLV,0.6990529530329387,0.9187804798424544,0.8824166666666667,0.8566614825602603,0.0653768823369106,0.9364908503767492
attn1,23,Healthcare,0.7147087611270889,0.914737393127444,0.8225,0.8280373867108634,0.0545591590121005,0.941109852774632
mlp1_tanh_s018_r2,24,RLV,0.7088623717149,0.9169785492133248,0.86275,0.8486039838948224,0.0,1.0
mlp1_tanh_s018_r2,24,Healthcare,0.7070927124928224,0.9137556016060064,0.8154166666666667,0.8321189968390766,0.0,1.0
mlp1_relu,24,RLV,0.7159393106710086,0.917101624573138,0.8800833333333332,0.8613289456986695,0.0569666691566365,0.9502212389380532
mlp1_relu,24,Healthcare,0.7225819329452117,0.914598584123355,0.83875,0.8442704004076063,0.048649963821012,0.9473094170403588
mlp2_tanh,24,RLV,0.7320461980209968,0.9168009924966668,0.8759166666666667,0.8654560835922197,0.0979696209216592,0.90929203539823
mlp2_tanh,24,Healthcare,0.7063705479304315,0.9136568498401632,0.8035833333333332,0.8252438858200003,0.0945758191049536,0.8923766816143498
mlp1_s009,24,RLV,0.7148826535058026,0.91716832908443,0.8750833333333334,0.8597681059151884,0.03011013594612,0.96570796460177
mlp1_s009,24,Healthcare,0.7131263799502134,0.9142152663287478,0.8295833333333335,0.8382673893795459,0.0275244957313686,0.9641255605381166
mlp1_s036,24,RLV,0.6905159923767799,0.9159798103020872,0.8225833333333332,0.8235209783048313,0.0568270578521521,0.9413716814159292
mlp1_s036,24,Healthcare,0.6947999511928846,0.912529648483814,0.7671666666666667,0.8032964525204355,0.0541509702769189,0.92152466367713
mlp1_r1,24,RLV,0.7055683667807906,0.916542183807888,0.8590833333333333,0.8441390318671793,0.0300895964315309,0.9679203539823008
mlp1_r1,24,Healthcare,0.6991379032864238,0.9132806316566322,0.8093333333333333,0.824256744164559,0.0160022191337236,0.9798206278026906
mlp1_r4,24,RLV,0.7040423576037583,0.9164849537441836,0.8498333333333333,0.8411512440639791,0.0340113925967765,0.9679203539823008
mlp1_r4,24,Healthcare,0.7231804985039361,0.914351537622868,0.8255,0.8370187689205372,0.026483808620982,0.967488789237668
attn1,24,RLV,0.721610137568479,0.9171429994945826,0.8869999999999999,0.8646487756140231,0.0830850787993148,0.9203539823008848
attn1,24,Healthcare,0.7123625434644679,0.9141879828085662,0.8273333333333334,0.8420657200115342,0.0544417128697124,0.9585201793721974
mlp1_tanh_s018_r2,25,RLV,0.6954172712962466,0.9128482756691016,0.8486666666666668,0.8417653649880564,0.0,1.0
mlp1_tanh_s018_r2,25,Healthcare,0.6944081198436439,0.9159310370184574,0.8080833333333334,0.8214229006558259,0.0,1.0
mlp1_relu,25,RLV,0.7020996649429442,0.913769347495874,0.8625,0.8508694592471212,0.0441415748284414,0.9726651480637812
mlp1_relu,25,Healthcare,0.7094921590781135,0.9172855067754034,0.8205000000000001,0.8244469774693325,0.0750589785975686,0.9405940594059404
mlp2_tanh,25,RLV,0.694879985341379,0.9132617327736196,0.8492500000000001,0.847174278064924,0.1098335668389588,0.8758542141230068
mlp2_tanh,25,Healthcare,0.7407134472176516,0.9196868287558913,0.8526666666666667,0.8603005404470454,0.1429398021124249,0.8426842684268426
mlp1_s009,25,RLV,0.7050479227494941,0.9138150284611516,0.8781666666666667,0.8559810243777994,0.0333893616553522,0.9578587699316627
