k,domain,eval_seed,A_triad,CKA_genesis_repair,CKA_genesis_context,CKA_repair_context,TS_mean,SR_mean,SR_zero_events,Rel_mean,Rel_event_sd,baseline_balanced_accuracy,baseline_f1
21,RLV,21042,0.7110220007281068,0.8798247260918096,0.6230079524035765,0.6302333236889346,0.9159121992860034,0.8792500000000001,1,0.8612653715102782,0.0857709053645747,0.6077068430287489,0.7291139240506329
21,Healthcare,21043,0.7419399397634866,0.8852993313155118,0.6697973034794188,0.6707231844955291,0.9159723301685445,0.83375,4,0.8480563208365345,0.13713378372532226,0.5707575757575758,0.6916890080428955
22,RLV,22042,0.7022094094063136,0.8843013893046171,0.6093749385691855,0.6129519003451382,0.9161026098136398,0.8680833333333333,2,0.8531853423284153,0.10263775788264978,0.5488534396809571,0.736318407960199
22,Healthcare,22043,0.7330806722074202,0.8874760856284453,0.6480434087205876,0.6637225222732278,0.9184422018575481,0.8543333333333334,2,0.8574671217806551,0.10918599995565655,0.5486739801895836,0.6997389033942559
23,RLV,23042,0.7089710436016365,0.8884892168364853,0.6128728932816033,0.6255510206868208,0.9180800103163324,0.8635833333333334,4,0.8470960947857907,0.13521632374574558,0.6,0.6719160104986877
23,Healthcare,23043,0.7034257380017835,0.8733634876616728,0.6116791877988026,0.6252345385448753,0.9136322457919264,0.7825,10,0.804372189207971,0.19272788531785054,0.4894053315105946,0.6460674157303371
24,RLV,24042,0.7088623717149,0.874157949435111,0.6215441416267034,0.6308850240828855,0.9169785492133248,0.86275,4,0.8486039838948224,0.13002625818405555,0.6023001725129384,0.7098445595854922
24,Healthcare,24043,0.7070927124928225,0.8744533114076954,0.5976969338655189,0.6491278922052534,0.9137556016060063,0.8154166666666667,4,0.8321189968390766,0.13581168524696857,0.5106422018348624,0.6519337016574586
25,RLV,25042,0.6954172712962468,0.8634100203928927,0.6059902148318892,0.6168515786639581,0.9128482756691016,0.8486666666666668,3,0.8417653649880564,0.11856967088416229,0.6419118451274199,0.7243243243243244
25,Healthcare,25043,0.6944081198436437,0.8705213909439843,0.594509264020423,0.618193704566524,0.9159310370184574,0.8080833333333334,6,0.8214229006558256,0.1556499228431752,0.5173241852487136,0.6790450928381963
26,RLV,26042,0.7307918127821796,0.8797171357440554,0.6555102238105872,0.6571480787918964,0.9138490308281962,0.83375,2,0.850913985427587,0.10716055902078306,0.6379227053140097,0.7769423558897243
26,Healthcare,26043,0.7410188190511695,0.9003741229088731,0.6500132515114985,0.6726690827331372,0.9163000687722428,0.8534999999999999,4,0.8545903025501085,0.13350222336525994,0.5560975609756098,0.7121212121212122
27,RLV,27042,0.6902603094947185,0.8569930554241068,0.6028178318708639,0.610970041189185,0.9189154502980895,0.8715833333333333,3,0.8484478269144771,0.11613835770738307,0.5653061224489796,0.690176322418136
27,Healthcare,27043,0.7234844335042228,0.8794387380969243,0.6349424849182125,0.6560720774975317,0.9163842863544276,0.8138333333333333,5,0.8345332839438426,0.1470347844543264,0.5087121212121212,0.6666666666666666
28,RLV,28042,0.7174055564650116,0.884653985388233,0.6372363807505336,0.630326303256268,0.9192604633290721,0.8738333333333332,2,0.859679991326181,0.10368576284434988,0.7020189431704885,0.7229551451187335
28,Healthcare,28043,0.7341035353434479,0.8923816194110422,0.638411857387334,0.6715171292319672,0.9156911792368408,0.8078333333333333,9,0.824020580886655,0.1863440713062937,0.6011627906976744,0.7743589743589744
29,RLV,29042,0.7110510778141698,0.8760381969930169,0.619721621646602,0.6373934148028905,0.9148137087586936,0.8365,4,0.8378254570103146,0.1395012562595302,0.5600348324966704,0.6481994459833795
29,Healthcare,29043,0.7326780486904915,0.8895430296745731,0.6505141457369044,0.6579769706599969,0.9150430943810709,0.8381666666666667,5,0.8446427165315059,0.14537329179737513,0.5229471084585305,0.6737967914438503
30,RLV,30042,0.6934183423842629,0.8566340911372273,0.6080235708002623,0.6155973652152992,0.9166203288108369,0.8769166666666668,2,0.8531416933246735,0.10120679092732837,0.6259076763485477,0.7028423772609819
30,Healthcare,30043,0.7509561774534266,0.8986686138001256,0.6708916474466771,0.683308271113477,0.9202125618060542,0.82975,4,0.851362429352126,0.1349470662338242,0.5864298027197855,0.7018469656992085
31,RLV,31042,0.6947456695145702,0.8722091826950251,0.601571741309782,0.6104560845389034,0.91731936652378,0.8590000000000001,3,0.845704168998533,0.11729221168825106,0.6068722943722944,0.7120418848167539
