k,domain,method,reference,n,agree_with_counterfactual
19,Healthcare,shapley,pool,150,0.19333333333333333
19,Healthcare,shapley,local,150,0.8666666666666667
19,Healthcare,lime,local,150,0.8466666666666667
19,Healthcare,lime,pool,150,0.23333333333333334
19,Healthcare,shapley_vs_lime,pool,150,0.49333333333333335
19,Healthcare,shapley_vs_lime,local,150,0.8466666666666667
20,RLV,shapley,pool,150,0.25333333333333335
20,RLV,shapley,local,150,0.8866666666666667
20,RLV,lime,local,150,0.8733333333333333
20,RLV,lime,pool,150,0.25333333333333335
20,RLV,shapley_vs_lime,pool,150,0.5066666666666667
20,RLV,shapley_vs_lime,local,150,0.88
20,Healthcare,shapley,pool,150,0.24666666666666667
20,Healthcare,shapley,local,150,0.8866666666666667
20,Healthcare,lime,local,150,0.9066666666666666
20,Healthcare,lime,pool,150,0.2866666666666667
20,Healthcare,shapley_vs_lime,pool,150,0.4066666666666667
20,Healthcare,shapley_vs_lime,local,150,0.8933333333333333
21,RLV,shapley,pool,150,0.24
21,RLV,shapley,local,150,0.8866666666666667
21,RLV,lime,local,150,0.8866666666666667
21,RLV,lime,pool,150,0.26
21,RLV,shapley_vs_lime,pool,150,0.7133333333333334
21,RLV,shapley_vs_lime,local,150,0.8733333333333333
21,Healthcare,shapley,pool,150,0.19333333333333333
21,Healthcare,shapley,local,150,0.8733333333333333
21,Healthcare,lime,local,150,0.9533333333333334
21,Healthcare,lime,pool,150,0.30666666666666664
21,Healthcare,shapley_vs_lime,pool,150,0.5933333333333334
21,Healthcare,shapley_vs_lime,local,150,0.8733333333333333
22,RLV,shapley,pool,150,0.26
22,RLV,shapley,local,150,0.8333333333333334
22,RLV,lime,local,150,0.8666666666666667
22,RLV,lime,pool,150,0.32
22,RLV,shapley_vs_lime,pool,150,0.5066666666666667
22,RLV,shapley_vs_lime,local,150,0.86
22,Healthcare,shapley,pool,150,0.22
22,Healthcare,shapley,local,150,0.8533333333333334
22,Healthcare,lime,local,150,0.8666666666666667
22,Healthcare,lime,pool,150,0.22666666666666666
22,Healthcare,shapley_vs_lime,pool,150,0.58
22,Healthcare,shapley_vs_lime,local,150,0.8666666666666667
23,RLV,shapley,pool,150,0.29333333333333333
23,RLV,shapley,local,150,0.8466666666666667
23,RLV,lime,local,150,0.9
