k,domain,gene_dropped,A_triad_mean,A_triad_std,TS_mean,SR,Rel,Rel_delta_vs_full,baseline_balanced_accuracy_mean,baseline_balanced_accuracy_std,baseline_f1_mean
31,Healthcare,D,0.7082761101561775,0.0,0.918068182184994,0.8975,0.8740333351885778,0.019323683252428836,0.5561294765840221,0.0,0.6649350649350649
31,Healthcare,E,0.6579313969558814,0.0,0.9162674708675206,0.8999166666666667,0.8582252619084689,0.003515609972319922,0.5732323232323233,0.0,0.713216957605985
32,RLV,S,0.6837419787313067,0.0,0.9209313945273558,0.9144999999999999,0.8711156340278248,0.009587796082747624,0.5357142857142857,0.0,0.7
32,RLV,A,0.723362980729758,0.0,0.9203191694068849,0.9172499999999999,0.8839864680580687,0.02245863011299154,0.5112244897959184,0.0,0.6597938144329897
32,RLV,D,0.5435933019822091,0.0,0.9173056522981715,0.9014166666666666,0.8188011378599356,-0.04272670008514157,0.5275510204081633,0.0,0.6868686868686869
32,RLV,E,0.7103477390428742,0.0,0.9188755245401825,0.915,0.8790978037491974,0.01756996580412029,0.5295918367346939,0.0,0.690176322418136
32,Healthcare,S,0.6478848688762587,0.0,0.9181637170684598,0.8599166666666668,0.8457043853865035,0.02371795154949552,0.4867837579340927,0.0,0.6295264623955432
32,Healthcare,A,0.6724559335072634,0.0,0.9185850457010527,0.8450833333333333,0.8500034421091319,0.028017008272123944,0.4838274932614555,0.0,0.6648793565683646
32,Healthcare,D,0.671250994641705,0.0,0.9148154084805569,0.8435833333333334,0.8483725362912753,0.026386102454267313,0.5498652291105122,0.0,0.6775956284153005
32,Healthcare,E,0.6544201338008001,0.0,0.9181561518401149,0.8322499999999999,0.84092400717712,0.018937573340112035,0.49556560299104424,0.0,0.6702412868632708
33,RLV,S,0.7158489408027676,0.0,0.9160807199825974,0.8954166666666667,0.8753768876565001,0.007759186517522831,0.47119547119547117,0.0,0.6324324324324324
33,RLV,A,0.763926511054179,0.0,0.9170256201944447,0.9042500000000001,0.892134618604431,0.024516917465453703,0.545954045954046,0.0,0.6391184573002755
33,RLV,D,0.6439398701902886,0.0,0.9121443335979036,0.9017500000000002,0.8530976739533148,-0.014520027185662476,0.5138195138195139,0.0,0.6243093922651933
33,RLV,E,0.7205795550022875,0.0,0.914211957028249,0.8982499999999999,0.8770644632393134,0.009446762100336126,0.5351315351315351,0.0,0.6201117318435754
33,Healthcare,S,0.6770065728794555,0.0,0.9159850044576799,0.8871666666666667,0.8612348914764492,0.02141663472235389,0.5194582814445828,0.0,0.673972602739726
