domain,delta,adm_genesis,adm_mutation,adm_repair,dip,recovery,A_triad,TS,SR,Rel,operating_point
Healthcare,0.36,0.8737316798196166,0.7767756482525366,0.9278466741826381,0.09695603156707999,0.15107102593010147,0.7583359988305262,0.9174039447938419,0.9229166666666666,0.8951507733866099,False
Healthcare,0.37,0.887260428410372,0.798196166854566,0.9379932356257046,0.08906426155580605,0.13979706877113862,0.7583359988305262,0.9174039447938419,0.9334166666666667,0.8976860096638474,False
Healthcare,0.38,0.90304396843292,0.8083427282976324,0.9425028184892897,0.09470124013528758,0.1341600901916573,0.7583359988305262,0.9174039447938419,0.9370833333333333,0.8985662911855485,False
Healthcare,0.39,0.9098083427282976,0.8173618940248027,0.9549041713641488,0.09244644870349483,0.1375422773393461,0.7583359988305262,0.9174039447938419,0.9508333333333333,0.9018445157231731,False
Healthcare,0.4,0.9177001127395716,0.8320180383314544,0.9616685456595265,0.08568207440811726,0.12965050732807215,0.7583359988305262,0.9174039447938419,0.9574166666666667,0.9034015156677292,False
Healthcare,0.41,0.9255918827508456,0.8432919954904171,0.9684329199549042,0.08229988726042847,0.1251409244644871,0.7583359988305262,0.9174039447938419,0.9650833333333333,0.9052046430358051,False
Healthcare,0.42,0.9312288613303269,0.859075535512965,0.971815107102593,0.07215332581736189,0.112739571589628,0.7583359988305262,0.9174039447938419,0.96925,0.9061801015115091,False
Healthcare,0.43,0.9346110484780158,0.8771138669673055,0.9785794813979707,0.05749718151071026,0.10146561443066515,0.7583359988305262,0.9174039447938419,0.9765,0.9078699280277104,False
Healthcare,0.44,0.9425028184892897,0.8883878241262683,0.9819616685456595,0.054114994363021474,0.0935738444193912,0.7583359988305262,0.9174039447938419,0.9798333333333333,0.9086437034918161,False
Healthcare,0.45,0.9481397970687712,0.8974069898534386,0.9875986471251409,0.050732807215332576,0.09019165727170231,0.7583359988305262,0.9174039447938419,0.9864166666666666,0.910166128582906,False
Healthcare,0.46,0.9582863585118376,0.9086809470124013,0.9887260428410372,0.049605411499436314,0.08004509582863584,0.7583359988305262,0.9174039447938419,0.9876666666666667,0.9104543352440058,False
Healthcare,0.47,0.9661781285231116,0.915445321307779,0.9909808342728298,0.050732807215332576,0.07553551296505079,0.7583359988305262,0.9174039447938419,0.9903333333333333,0.9110682629935276,False
Healthcare,0.48,0.9695603156708005,0.9210822998872604,0.9943630214205186,0.04847801578354005,0.07328072153325815,0.7583359988305262,0.9174039447938419,0.9935833333333334,0.9118148133736532,False
Healthcare,0.49,0.9774520856820744,0.9278466741826381,0.9954904171364148,0.049605411499436314,0.06764374295377673,0.7583359988305262,0.9174039447938419,0.9948333333333333,0.9121014604911953,False
Healthcare,0.5,0.9785794813979707,0.9402480270574972,0.9954904171364148,0.03833145434047347,0.055242390078917625,0.7583359988305262,0.9174039447938419,0.9948333333333333,0.9121014604911953,False
Healthcare,0.51,0.9819616685456595,0.9492671927846674,0.9966178128523112,0.03269447576099205,0.04735062006764379,0.7583359988305262,0.9174039447938419,0.9960833333333333,0.912387837608549,False
Healthcare,0.52,0.9842164599774521,0.9503945885005637,0.9966178128523112,0.03382187147688842,0.04622322435174753,0.7583359988305262,0.9174039447938419,0.9960833333333333,0.912387837608549,False
Healthcare,0.53,0.9875986471251409,0.9560315670800451,0.9988726042841037,0.031567080045095786,0.04284103720405863,0.7583359988305262,0.9174039447938419,0.9983333333333334,0.9129026379098072,False
Healthcare,0.54,0.992108229988726,0.9594137542277339,0.9988726042841037,0.03269447576099216,0.03945885005636984,0.7583359988305262,0.9174039447938419,0.9983333333333334,0.9129026379098072,False
Healthcare,0.55,0.9932356257046223,0.9616685456595265,0.9988726042841037,0.031567080045095786,0.03720405862457721,0.7583359988305262,0.9174039447938419,0.9983333333333334,0.9129026379098072,False
